No,id,nama_wisata,kategori,kabupaten,before,after,placeType,sourceUsed,QC,reason
"1","air-terjun-tlogo-muncar","Air Terjun Tlogo Muncar","Air Terjun","Sleman","Air terjun setinggi ±40 m di ketinggian 878 mdpl dalam kawasan TNGM, lereng Gunung Merapi.","Air terjun setinggi ±40 m di ketinggian 878 mdpl dalam kawasan TNGM, lereng Gunung Merapi.","air terjun","original","PASS",""
"2","grojogan-watu-purbo","Grojogan Watu Purbo","Air Terjun","Sleman","Air terjun bertingkat 6 berasal dari Sungai Krasak dan Bebeng, awalnya sabo dam penahan lahar Merapi (1975), dijadikan wisata sejak 2017.","Grojogan Watu Purbo merupakan destinasi air terjun di Sleman dengan aliran air segar, tebing alami, dan suasana alam yang asri.","air terjun","fallback","PASS",""
"3","bukit-klangon","Bukit Klangon","Bukit","Sleman","Bukit di lereng Merapi ±1.100 mdpl, spot gardu pandang 5 m menghadap Gunung Merapi.","Bukit di lereng Merapi ±1.100 mdpl, spot gardu pandang 5 m menghadap Gunung Merapi.","bukit","original","PASS",""
"4","kali-kuning","Kali Kuning","Lainnya","Sleman","Kawasan wisata sungai di lereng Merapi dengan jembatan heritage, aliran alami, dan suasana sejuk pegunungan.","Kawasan wisata sungai di lereng Merapi dengan jembatan heritage, aliran alami, dan suasana sejuk pegunungan.","sungai","original","PASS",""
"5","tlogo-putri-kaliurang","Tlogo Putri Kaliurang","Lainnya","Sleman","Kawasan wisata hutan dan telaga di Kaliurang dengan wahana air, flying fox, dan akses menuju jalur alam Merapi.","Kawasan wisata hutan dan telaga di Kaliurang dengan wahana air, flying fox, dan akses menuju jalur alam Merapi.","sungai","original","PASS",""
"6","kaliadem-bunker-merapi","Kaliadem (Bunker Merapi)","Lainnya","Sleman","Kawasan vulkanik di lereng Merapi dengan bunker bersejarah, panorama gunung, dan jejak erupsi Merapi.","Kawasan vulkanik di lereng Merapi dengan bunker bersejarah, panorama gunung, dan jejak erupsi Merapi.","sungai","original","PASS",""
"7","hutan-pinus-turgo","Hutan Pinus Turgo","Hutan","Sleman","Hutan pinus alami di lereng Merapi kawasan Turi–Pakem, cocok untuk trekking ringan dan camping.","Hutan pinus alami di lereng Merapi kawasan Turi–Pakem, cocok untuk trekking ringan dan camping.","hutan","original","PASS",""
"8","ledok-sambi","Ledok Sambi","Lainnya","Sleman","Lembah ekopark di tepi sungai dengan panorama Merapi, area bermain air, camping, dan suasana pedesaan.","Lembah ekopark di tepi sungai dengan panorama Merapi, area bermain air, camping, dan suasana pedesaan.","lainnya","original","PASS",""
"9","hutan-pinus-pengger","Hutan Pinus Pengger","Bukit","Bantul","Hutan Pinus Pengger menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.","Hutan Pinus Pengger menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.","hutan","original","PASS",""
"10","becici-peak","Becici Peak","Bukit","Bantul","Becici Peak menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Becici Peak menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","bukit","original","PASS",""
"11","seribu-batu-songgo-langit","Seribu Batu Songgo Langit","Bukit","Bantul","Seribu Batu Songgo Langit menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Seribu Batu Songgo Langit menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","bukit","original","PASS",""
"12","goa-cemara-beach","Goa Cemara Beach","Pantai","Bantul","Goa Cemara Beach menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.","Goa Cemara Beach menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.","goa","original","PASS",""
"13","puncak-sosok","Puncak Sosok","Bukit","Bantul","Puncak Sosok menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Puncak Sosok menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","bukit","original","PASS",""
"14","hutan-pinus-asri","Hutan Pinus Asri","Bukit","Bantul","Hutan Pinus Asri menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.","Hutan Pinus Asri menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.","hutan","original","PASS",""
"15","batu-kapal-park","Batu Kapal Park","Lainnya","Bantul","Batu Kapal Park menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.","Batu Kapal Park merupakan taman wisata di Bantul dengan ruang rekreasi, suasana alam, dan area kunjungan yang nyaman.","taman","fallback","PASS",""
"16","randusari-falls","Randusari Falls","Air Terjun","Bantul","Randusari Falls menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Randusari Falls menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","air terjun","original","PASS",""
"17","gua-cerme","Gua Cerme","Goa","Bantul","Gua Cerme merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.","Gua Cerme merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.","goa","original","PASS",""
"18","penawangan-srunggo-cascade","Penawangan Srunggo Cascade","Air Terjun","Bantul","Penawangan Srunggo Cascade menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Penawangan Srunggo Cascade menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","air terjun","original","PASS",""
