No,id,nama_wisata,kategori,kabupaten,Before,After,PlaceType,Status,QC,Alasan
1,air-terjun-tlogo-muncar,"Air Terjun Tlogo Muncar","Air Terjun","Sleman","Air terjun setinggi ±40 m di ketinggian 878 mdpl dalam kawasan TNGM, lereng Gunung Merapi.","Air Terjun Tlogo Muncar merupakan destinasi air terjun di Sleman dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
2,grojogan-watu-purbo,"Grojogan Watu Purbo","Air Terjun","Sleman","Air terjun bertingkat 6 berasal dari Sungai Krasak dan Bebeng, awalnya sabo dam penahan lahar Merapi (1975), dijadikan wisata sejak 2017.","Grojogan Watu Purbo merupakan destinasi air terjun di Sleman dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
3,bukit-klangon,"Bukit Klangon","Bukit","Sleman","Bukit di lereng Merapi ±1.100 mdpl, spot gardu pandang 5 m menghadap Gunung Merapi.","Bukit Klangon merupakan destinasi bukit di Sleman dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
4,kali-kuning,"Kali Kuning","Lainnya","Sleman","Kawasan wisata sungai di lereng Merapi dengan jembatan heritage, aliran alami, dan suasana sejuk pegunungan.","Kali Kuning merupakan destinasi sungai di Sleman dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
5,tlogo-putri-kaliurang,"Tlogo Putri Kaliurang","Lainnya","Sleman","Kawasan wisata hutan dan telaga di Kaliurang dengan wahana air, flying fox, dan akses menuju jalur alam Merapi.","Tlogo Putri Kaliurang merupakan destinasi sungai di Sleman dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
6,kaliadem-bunker-merapi,"Kaliadem (Bunker Merapi)","Lainnya","Sleman","Kawasan vulkanik di lereng Merapi dengan bunker bersejarah, panorama gunung, dan jejak erupsi Merapi.","Kaliadem (Bunker Merapi) merupakan destinasi sungai di Sleman dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
7,hutan-pinus-turgo,"Hutan Pinus Turgo","Hutan","Sleman","Hutan pinus alami di lereng Merapi kawasan Turi–Pakem, cocok untuk trekking ringan dan camping.","Hutan Pinus Turgo merupakan destinasi hutan di Sleman dengan suasana sejuk dan ruang rekreasi alam.","hutan","CHANGED","PASS",""
8,ledok-sambi,"Ledok Sambi","Lainnya","Sleman","Lembah ekopark di tepi sungai dengan panorama Merapi, area bermain air, camping, dan suasana pedesaan.","Ledok Sambi merupakan destinasi wisata di Sleman yang cocok untuk kunjungan singkat.","lainnya","CHANGED","PASS",""
9,hutan-pinus-pengger,"Hutan Pinus Pengger","Bukit","Bantul","Hutan Pinus Pengger menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.","Hutan Pinus Pengger merupakan destinasi hutan di Bantul dengan suasana sejuk dan ruang rekreasi alam.","hutan","CHANGED","PASS",""
10,becici-peak,"Becici Peak","Bukit","Bantul","Becici Peak menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Becici Peak merupakan destinasi bukit di Bantul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
11,seribu-batu-songgo-langit,"Seribu Batu Songgo Langit","Bukit","Bantul","Seribu Batu Songgo Langit menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Seribu Batu Songgo Langit merupakan destinasi bukit di Bantul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
12,goa-cemara-beach,"Goa Cemara Beach","Pantai","Bantul","Goa Cemara Beach menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.","Goa Cemara Beach merupakan destinasi goa di Bantul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
13,puncak-sosok,"Puncak Sosok","Bukit","Bantul","Puncak Sosok menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Puncak Sosok merupakan destinasi bukit di Bantul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
14,hutan-pinus-asri,"Hutan Pinus Asri","Bukit","Bantul","Hutan Pinus Asri menawarkan suasana hutan pinus yang sejuk, spot foto, dan panorama alam yang cocok untuk rekreasi santai.","Hutan Pinus Asri merupakan destinasi hutan di Bantul dengan suasana sejuk dan ruang rekreasi alam.","hutan","CHANGED","PASS",""
